account,campaign_name,adgroup_name,keyword,local_date,impressions,clicks,cost,currency,media_source,portal
FR-Display-UAC,FR_Android_Branded_Universal_4_no_img_no_video,,,2019-02-18,13679,2617,559.26,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +fr,2019-03-08,2,1,0.01,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-23,66,35,1.55,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted,2019-02-07,21638,9713,267.07,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-02-14,14,8,0.38,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Lister,,,2019-02-10,156724,730,335.61,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,winted,2019-02-20,91,40,1.03,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_Android_CPC_Lister,,,2019-02-11,265700,1441,401.17,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,winted,2019-02-04,99,46,0.99,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-03-03,110,61,4.54,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Lister,,,2019-02-15,14854,202,79.88,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Lister,,,2019-03-05,160680,515,749.16,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinetd,2019-02-11,31,16,0.32,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_Android_CPC_Lister,,,2019-02-20,390941,1833,534.41,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Lister,,,2019-02-17,204206,720,466.41,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-19,1,0,0.0,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-03-06,60,30,1.96,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-02-16,9,3,0.08,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-03-08,35,15,0.28,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-02-22,10,6,0.1,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-23,5418,31,14.1,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-02-21,14,6,0.11,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-03-04,24,13,0.62,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-20,15594,64,28.31,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-25,18595,60,35.31,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted fr,2019-03-01,79,43,0.62,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Install,,,2019-02-19,13306,44,23.9,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-16,1,0,0.0,EUR,Google,fr
FR-Display-UAC,UAC_PRAP_FR-FR_Vinted_iOS_CPC_Lister,,,2019-02-26,63963,431,229.3,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-08,0,0,0.0,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted femme,2019-02-24,722,320,8.37,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-26,80,45,1.08,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,vinted app,2019-02-24,102,55,2.02,EUR,Google,fr
FR Vinted Mix,FR_Search_Web_Branded,vinted,+vinted +app,2019-02-26,5,2,0.33,EUR,Google,fr
